study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S020,2001,Eagles et al.,Seasonal Affective Disorder,clinical,adult,Rct,peripheral,750,60,28,not reported,placebo-controlled,Depression,inconclusive,57,Light therapy for seasonal affective disorder in primary care | The British Journal of Psychiatry | Cambridge Core,Cambridge University Press
S064,2004,Zalewska-Kaszubska & Obzejta,Alcohol Use Disorder,clinical,adult,Controlled Trial,peripheral,514,5,80,no blinding,no control group,Depression,positive,15,Use of low-energy laser as adjunct treatment of alcohol addiction | Lasers in Medical Science,Springer
S064,2004,Zalewska-Kaszubska & Obzejta,Alcohol Use Disorder,clinical,adult,Controlled Trial,peripheral,514,5,80,no blinding,no control group,Mood,positive,15,Use of low-energy laser as adjunct treatment of alcohol addiction | Lasers in Medical Science,Springer
S018,2006,Glickman et al.,Seasonal Affective Disorder,clinical,adult,Rct,peripheral,468,45,21,single-blind,placebo-controlled,Depression,positive,24,Original article Light Therapy for Seasonal Affective Disorder with Blue Narrow-Band Light-Emitting Diodes (LEDs),ScienceDirect
S001,2009,Schiffer et al.,Major Depressive Disorder,clinical,adult,Open-Label Pilot,transcranial,810,8,1,double-blind,placebo-controlled,Anxiety,positive,10,Psychological benefits 2 and 4 weeks after a single treatment with near infrared light to the forehead: a pilot study of 10 patients with major depression and anxiety,PubMed
S001,2009,Schiffer et al.,Major Depressive Disorder,clinical,adult,Open-Label Pilot,transcranial,810,8,1,double-blind,placebo-controlled,Mood,positive,10,Psychological benefits 2 and 4 weeks after a single treatment with near infrared light to the forehead: a pilot study of 10 patients with major depression and anxiety,PubMed
S021,2011,Naeser et al.,Brain Injury,clinical,adult,Clinical Study,transcranial,870,10,116,no blinding,no control group,Cognitive Function,positive,2,"Improved Cognitive Function After Transcranial, Light-Emitting Diode Treatments in Chronic, Traumatic Brain Injury: Two Case Reports",Mary Ann Liebert
S017,2013,Barrett et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,placebo-controlled,Cognitive Function,positive,20,Transcranial infrared laser stimulation produces beneficial cognitive and emotional effects in humans - Neuroscience,Elsevier
S017,2013,Barrett et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,placebo-controlled,Mood,positive,20,Transcranial infrared laser stimulation produces beneficial cognitive and emotional effects in humans - Neuroscience,Elsevier
S068,2014,Gonzalez-Lima & Barrett,Healthy,healthy,adult,Controlled Trial,transcranial,1064,4,1,double-blind,placebo-controlled,Cognitive Function,positive,20,Augmentation of cognitive brain functions with transcranial lasers - PMC,PubMed
S068,2014,Gonzalez-Lima & Barrett,Healthy,healthy,adult,Controlled Trial,transcranial,1064,4,1,double-blind,placebo-controlled,Mood,positive,20,Augmentation of cognitive brain functions with transcranial lasers - PMC,PubMed
S055,2014,Naeser et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,870,20,18,no blinding,open-label,Cognitive Function,positive,11,"Significant improvements in cognitive performance post-transcranial, red/near-infrared light-emitting diode treatments in chronic, mild traumatic brain injury: open-protocol study",Pubmed
S002,2015,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,823,8,6,double-blind,sham-controlled,Mood,positive,4,Near-Infrared Transcranial Radiation for Major Depressive Disorder: Proof of Concept Study,PubMed
S053,2016,Disner et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,1064,8,2,single-blind,placebo-controlled,Attention,positive,52,Transcranial Laser Stimulation as Neuroenhancement for Attention Bias Modification in Adults with Elevated Depression Symptoms,Pubmed
S053,2016,Disner et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,1064,8,2,single-blind,placebo-controlled,Mood,positive,52,Transcranial Laser Stimulation as Neuroenhancement for Attention Bias Modification in Adults with Elevated Depression Symptoms,Pubmed
S051,2016,Hwang et al.,Healthy,healthy,adult,Rct,transcranial,1064,8,1,single-blind,placebo-controlled,Attention,positive,30,Cognitive enhancement by transcranial laser stimulation and acute aerobic exercise | Lasers in Medical Science | Springer Nature Link,Springer
S051,2016,Hwang et al.,Healthy,healthy,adult,Rct,transcranial,1064,8,1,single-blind,placebo-controlled,Cognitive Function,positive,30,Cognitive enhancement by transcranial laser stimulation and acute aerobic exercise | Lasers in Medical Science | Springer Nature Link,Springer
S058,2017,Berman et al.,Alzheimer's,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Cognitive Function,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S058,2017,Berman et al.,Alzheimer's,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Memory,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S058,2017,Berman et al.,Dementia,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Cognitive Function,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S058,2017,Berman et al.,Dementia,clinical,geriatric,Pilot Rct,transcranial,1080,6,28,double-blind,sham-controlled,Memory,mixed,11,"Photobiomodulation with Near Infrared Light Helmet in a Pilot, Placebo Controlled Clinical Trial in Dementia Patients Testing Memory and Cognition",Pubmed
S050,2017,Blanco et al.,Healthy,healthy,adult,Rct,transcranial,1064,8,1,single-blind,sham-controlled,Cognitive Function,positive,21,"Transcranial infrared laser stimulation improves rule-based, but not information-integration, category learning in humans",Elsevier
S056,2017,Saltmarche et al.,Alzheimer's,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Cognitive Function,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S056,2017,Saltmarche et al.,Alzheimer's,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Memory,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S056,2017,Saltmarche et al.,Dementia,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Cognitive Function,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S056,2017,Saltmarche et al.,Dementia,clinical,geriatric,Case Series,transcranial,810,25,90,no blinding,open-label,Memory,positive,5,Significant Improvement in Cognition in Mild to Moderately Severe Dementia Cases Treated with Transcranial Plus Intranasal Photobiomodulation: Case Series Report,Pubmed
S061,2017,Silva et al.,Fibromyalgia,clinical,adult,Rct,peripheral,905,55,20,double-blind,sham-controlled,Anxiety,positive,160,"Randomized, blinded, controlled trial on effectiveness of photobiomodulation therapy and exercise training in the fibromyalgia treatment",PubMed
S061,2017,Silva et al.,Fibromyalgia,clinical,adult,Rct,peripheral,905,55,20,double-blind,sham-controlled,Mood,positive,160,"Randomized, blinded, controlled trial on effectiveness of photobiomodulation therapy and exercise training in the fibromyalgia treatment",PubMed
S061,2017,Silva et al.,Fibromyalgia,clinical,adult,Rct,peripheral,905,55,20,double-blind,sham-controlled,Pain,positive,160,"Randomized, blinded, controlled trial on effectiveness of photobiomodulation therapy and exercise training in the fibromyalgia treatment",PubMed
S019,2017,Videnovic et al.,Parkinson's,clinical,adult,Rct,peripheral,NA,60,28,single-blind,placebo-controlled,Sleep,positive,31,Timed Light Therapy for Sleep and Daytime Sleepiness Associated With Parkinson Disease: A Randomized Clinical Trial | Sleep Medicine | JAMA Neurology,JAMA Neurology
S019,2017,Videnovic et al.,Sleepiness,clinical,adult,Rct,peripheral,NA,60,28,single-blind,placebo-controlled,Sleep,positive,31,Timed Light Therapy for Sleep and Daytime Sleepiness Associated With Parkinson Disease: A Randomized Clinical Trial | Sleep Medicine | JAMA Neurology,JAMA Neurology
S024,2018,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,823,30,16,double-blind,sham-controlled,Depression,positive,20,Transcranial Photobiomodulation for the Treatment of Major Depressive Disorder. The ELATED-2 Pilot Trial - PMC,PubMed
S003,2018,Cassano et al.,Major Depressive Disorder,clinical,adult,Clinical Study,transcranial,823,30,16,double-blind,sham-controlled,Mood,positive,21,Transcranial Photobiomodulation for the Treatment of Major Depressive Disorder. The ELATED-2 Pilot Trial,PubMed
S036,2018,Chan et al.,Natural Aging,aging,geriatric,Rct,transcranial,870,7.5,1,single-blind,sham-controlled,Cognitive Function,positive,31,Photobiomodulation Improves the Frontal Cognitive Function of Older Adults - PMC,PubMed
S063,2018,Gabel et al.,Major Depressive Disorder,clinical,adult,Case Control,peripheral,660,6,3,no blinding,case-control,Mood,positive,21,A case control series for the effect of photobiomodulation in patients with low back pain and concurrent depression - PMC,PubMed
S063,2018,Gabel et al.,Major Depressive Disorder,clinical,adult,Case Control,peripheral,660,6,3,no blinding,case-control,Pain,positive,21,A case control series for the effect of photobiomodulation in patients with low back pain and concurrent depression - PMC,PubMed
S065,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Pilot Study,transcranial,823,30,16,double-blind,sham-controlled,Mood,mixed,10,Effects of transcranial photobiomodulation with near-infrared light on sexual dysfunction,Pubmed
S072,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,808,NA,4,double-blind,sham-controlled,Safety,positive,31,Dose-dependent tolerability and safety of transcranial photobiomodulation: a randomized controlled trial,PubMed
S065,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Pilot Study,transcranial,823,30,16,double-blind,sham-controlled,Sexual Function,mixed,10,Effects of transcranial photobiomodulation with near-infrared light on sexual dysfunction,Pubmed
S072,2019,Cassano et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,808,NA,4,double-blind,sham-controlled,Tolerability,positive,31,Dose-dependent tolerability and safety of transcranial photobiomodulation: a randomized controlled trial,PubMed
S065,2019,Cassano et al.,Sexual Dysfunction,clinical,adult,Pilot Study,transcranial,823,30,16,double-blind,sham-controlled,Mood,mixed,10,Effects of transcranial photobiomodulation with near-infrared light on sexual dysfunction,Pubmed
S065,2019,Cassano et al.,Sexual Dysfunction,clinical,adult,Pilot Study,transcranial,823,30,16,double-blind,sham-controlled,Sexual Function,mixed,10,Effects of transcranial photobiomodulation with near-infrared light on sexual dysfunction,Pubmed
S070,2019,Hipskind et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,NA,20,18,no blinding,no control group,Cognitive Function,positive,12,Pulsed Transcranial Red/Near-Infrared Light Therapy Using Light-Emitting Diodes Improves Cerebral Blood Flow and Cognitive Function in Veterans with Chronic Traumatic Brain Injury: A Case Series,PubMed
S070,2019,Hipskind et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,NA,20,18,no blinding,no control group,PTSD Symptoms,positive,12,Pulsed Transcranial Red/Near-Infrared Light Therapy Using Light-Emitting Diodes Improves Cerebral Blood Flow and Cognitive Function in Veterans with Chronic Traumatic Brain Injury: A Case Series,PubMed
S070,2019,Hipskind et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,NA,20,18,no blinding,no control group,Sleep,positive,12,Pulsed Transcranial Red/Near-Infrared Light Therapy Using Light-Emitting Diodes Improves Cerebral Blood Flow and Cognitive Function in Veterans with Chronic Traumatic Brain Injury: A Case Series,PubMed
S052,2019,Holmes et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,sham-controlled,Cognitive Function,positive,36,Cognitive Enhancement by Transcranial Photobiomodulation Is Associated With Cerebrovascular Oxygenation of the Prefrontal Cortex,Frontiers
S052,2019,Holmes et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,sham-controlled,Mood,positive,36,Cognitive Enhancement by Transcranial Photobiomodulation Is Associated With Cerebrovascular Oxygenation of the Prefrontal Cortex,Frontiers
S043,2019,Jahan et al.,Healthy,healthy,adult,Rct,transcranial,850,2.5,1,double-blind,sham-controlled,Attention,positive,30,Transcranial near-infrared photobiomodulation could modulate brain electrophysiological features and attentional performance in healthy young adults,PubMed
S088,2019,Jahan et al.,Healthy,healthy,adult,Rct,transcranial,850,2.5,1,single-blind,sham-controlled,Attention,positive,36,Transcranial near-infrared photobiomodulation could modulate brain electrophysiological features and attentional performance in healthy young adults,Pubmed
S088,2019,Jahan et al.,Healthy,healthy,adult,Rct,transcranial,850,2.5,1,single-blind,sham-controlled,Brain Oscillations,positive,36,Transcranial near-infrared photobiomodulation could modulate brain electrophysiological features and attentional performance in healthy young adults,Pubmed
S004,2019,Maiello et al.,Anxiety Disorder,clinical,adult,Open-Label Pilot,transcranial,830,20,56,no blinding,open-label,Anxiety,positive,15,Transcranial Photobiomodulation with Near-Infrared Light for Generalized Anxiety Disorder: A Pilot Study,PubMed
S080,2019,Moghadam et al.,Healthy,healthy,adult,Rct,transcranial,850,3,1,single-blind,sham-controlled,Attention,positive,30,Beneficial Effects of Transcranial Light Emitting Diode (LED) Therapy on Attentional Performance: An Experimental Design,PubMed
S080,2019,Moghadam et al.,Healthy,healthy,adult,Rct,transcranial,850,3,1,single-blind,sham-controlled,Brain Oscillations,positive,30,Beneficial Effects of Transcranial Light Emitting Diode (LED) Therapy on Attentional Performance: An Experimental Design,PubMed
S077,2019,Salehpour et al.,Healthy,healthy,adult,Controlled Trial,transcranial,810,NA,1,not reported,NA,Cognitive Function,positive,50,Transcranial Photobiomodulation Improves Cognitive Performance in Young Healthy Adults: A Systematic Review and Meta-Analysis - PMC,PubMed
S097,2019,Tian et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,10,1,no blinding,no control group,Brain Hemodynamics,positive,15,https://pubmed.ncbi.nlm.nih.gov/26817446/,PubMed
S067,2019,Vargas et al.,Natural Aging,aging,geriatric,Controlled Trial,transcranial,1064,8,5,no blinding,no control group,Attention,positive,36,Beneficial neurocognitive effects of transcranial laser in older adults | Lasers in Medical Science,Springer
S067,2019,Vargas et al.,Natural Aging,aging,geriatric,Controlled Trial,transcranial,1064,8,5,no blinding,no control group,Cognitive Function,positive,36,Beneficial neurocognitive effects of transcranial laser in older adults | Lasers in Medical Science,Springer
S067,2019,Vargas et al.,Natural Aging,aging,geriatric,Controlled Trial,transcranial,1064,8,5,no blinding,no control group,Memory,positive,36,Beneficial neurocognitive effects of transcranial laser in older adults | Lasers in Medical Science,Springer
S074,2020,Alipour et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,810,4,10,no blinding,no control group,Brain Oscillations,positive,22,Evaluating the effect of transcranial light therapy on depression symptoms and quantitative electroencephalographic changes,ResearchGate
S074,2020,Alipour et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,810,4,10,no blinding,no control group,Depression,positive,22,Evaluating the effect of transcranial light therapy on depression symptoms and quantitative electroencephalographic changes,ResearchGate
S091,2020,Chao et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,1071,20,35,no blinding,open-label,Cognitive Function,positive,23,Changes in Brain Function and Structure After Self-Administered Home Photobiomodulation Treatment in a Concussion Case - PMC,PubMed
S091,2020,Chao et al.,Brain Injury,clinical,adult,Open-Label Pilot,transcranial,1071,20,35,no blinding,open-label,Memory,positive,23,Changes in Brain Function and Structure After Self-Administered Home Photobiomodulation Treatment in a Concussion Case - PMC,PubMed
S013,2020,Figueiro Longo et al.,Brain Injury,clinical,adult,Rct,transcranial,NA,20,3,double-blind,placebo-controlled,Cognitive Function,inconclusive,68,Effect of Transcranial Low-Level Light Therapy vs Sham Therapy Among Patients With Moderate Traumatic Brain Injury: A Randomized Clinical Trial,PubMed
S013,2020,Figueiro Longo et al.,Brain Injury,clinical,adult,Rct,transcranial,NA,20,3,double-blind,placebo-controlled,Mood,inconclusive,68,Effect of Transcranial Low-Level Light Therapy vs Sham Therapy Among Patients With Moderate Traumatic Brain Injury: A Randomized Clinical Trial,PubMed
S073,2020,Kerppers et al.,Anxiety Disorder,clinical,adult,Controlled Trial,transcranial,945,2,30,single-blind,sham-controlled,Anxiety,positive,20,Study of transcranial photobiomodulation at 945-nm wavelength: anxiety and depression,PubMed
S073,2020,Kerppers et al.,Anxiety Disorder,clinical,adult,Controlled Trial,transcranial,945,2,30,single-blind,sham-controlled,Depression,positive,20,Study of transcranial photobiomodulation at 945-nm wavelength: anxiety and depression,PubMed
S073,2020,Kerppers et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,945,2,30,single-blind,sham-controlled,Anxiety,positive,20,Study of transcranial photobiomodulation at 945-nm wavelength: anxiety and depression,PubMed
S073,2020,Kerppers et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,945,2,30,single-blind,sham-controlled,Depression,positive,20,Study of transcranial photobiomodulation at 945-nm wavelength: anxiety and depression,PubMed
S047,2020,Schiffer et al.,Major Depressive Disorder,clinical,adult,Case Series,transcranial,810,4,20,no blinding,no control group,Addiction/Cravings,positive,42,Unilateral transcranial photobiomodulation for opioid addiction in a clinical practice: A clinical overview and case series,ScienceDirect
S047,2020,Schiffer et al.,Major Depressive Disorder,clinical,adult,Case Series,transcranial,810,4,20,no blinding,no control group,Mood,positive,42,Unilateral transcranial photobiomodulation for opioid addiction in a clinical practice: A clinical overview and case series,ScienceDirect
S047,2020,Schiffer et al.,Opioid Use Disorder,clinical,adult,Case Series,transcranial,810,4,20,no blinding,no control group,Addiction/Cravings,positive,42,Unilateral transcranial photobiomodulation for opioid addiction in a clinical practice: A clinical overview and case series,ScienceDirect
S047,2020,Schiffer et al.,Opioid Use Disorder,clinical,adult,Case Series,transcranial,810,4,20,no blinding,no control group,Mood,positive,42,Unilateral transcranial photobiomodulation for opioid addiction in a clinical practice: A clinical overview and case series,ScienceDirect
S076,2021,Cardosa et al.,Natural Aging,aging,geriatric,Controlled Trial,transcranial,633,NA,NA,not reported,NA,Cognitive Function,positive,36,Photobiomodulation for the aging brain,PubMed
S076,2021,Cardosa et al.,Natural Aging,aging,geriatric,Controlled Trial,transcranial,633,NA,NA,not reported,NA,Memory,positive,36,Photobiomodulation for the aging brain,PubMed
S079,2021,Cardoso et al.,Natural Aging,aging,geriatric,Controlled Trial,transcranial,633,NA,NA,not reported,NA,Cognitive Function,positive,NA,Photobiomodulation for the aging brain,ScienceDirect
S011,2021,Chan et al.,Mild Cognitive Impairment,aging,geriatric,Controlled Trial,transcranial,NA,NA,1,single-blind,sham-controlled,Memory,positive,36,Photobiomodulation Enhances Memory Processing in Older Adults with Mild Cognitive Impairment: A Functional Near-Infrared Spectroscopy Study,PubMed
S009,2021,Chao et al.,Alzheimer's,clinical,geriatric,Rct,transcranial,810,20,36,no blinding,no control group,Cognitive Function,positive,8,"Effects of Home Photobiomodulation Treatments on Cognitive and Behavioral Function, Cerebral Perfusion, and Resting-State Functional Connectivity in Patients with Dementia: A Pilot Trial",PubMed
S009,2021,Chao et al.,Dementia,clinical,geriatric,Rct,transcranial,810,20,36,no blinding,no control group,Cognitive Function,positive,8,"Effects of Home Photobiomodulation Treatments on Cognitive and Behavioral Function, Cerebral Perfusion, and Resting-State Functional Connectivity in Patients with Dementia: A Pilot Trial",PubMed
S044,2021,Kheradmand et al.,Schizophrenia,clinical,adult,Rct,transcranial,810,10,5,double-blind,placebo-controlled,Schizophrenia,negative,32,Effect of low-level laser therapy (LLLT) on cognitive impairment among patients with chronic schizophrenia: a double-blind randomized placebo-controlled clinical trial,ResearchGate
S083,2021,Nagy et al.,Alzheimer's,clinical,geriatric,Rct,peripheral,650,30,72,not reported,sham-controlled,Cognitive Function,positive,50,Impact of Combined Photo-Biomodulation and Aerobic Exercise on Cognitive Function and Quality-of-Life in Elderly Alzheimer Patients with Anemia: A Randomized Clinical Trial,Pubmed
