study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,ADHD Symptoms,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Autism Symptoms,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Emotional Regulation,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Social Behavior,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S093,2025,Chan et al.,Alzheimer's,clinical,geriatric,Open-Label Pilot,transcranial,810,20,20,no blinding,no control group,Cognitive Function,positive,1,Effects of whole-head 810 nm near-infrared therapy on cognitive and neuropsychiatric symptoms in Alzheimer's disease: A pilot study,PubMed
S093,2025,Chan et al.,Alzheimer's,clinical,geriatric,Open-Label Pilot,transcranial,810,20,20,no blinding,no control group,Mood,positive,1,Effects of whole-head 810 nm near-infrared therapy on cognitive and neuropsychiatric symptoms in Alzheimer's disease: A pilot study,PubMed
S098,2025,Coelho et al.,Chronic Pain,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Mood,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S098,2025,Coelho et al.,Chronic Pain,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Pain,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S098,2025,Coelho et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Mood,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S098,2025,Coelho et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Pain,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S037,2025,Fradkin et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,850,12,20,no blinding,no control group,Autism Symptoms,positive,23,Transcranial photobiomodulation for reducing symptoms of autism spectrum disorder and modulating brain electrophysiology in children aged 2–7: an open label study - PMC,PubMed
S082,2025,Guu et al.,Insomnia,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Depression,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S082,2025,Guu et al.,Insomnia,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Sleep,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S082,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Depression,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S006,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Mood,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",PubMed
S006,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Sleep,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",PubMed
S082,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Sleep,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S022,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Opioid Craving,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S022,2025,Helali et al.,Opioid Craving,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S022,2025,Helali et al.,Opioid Craving,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Opioid Use Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S048,2025,Helali et al.,Opioid Use Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S048,2025,Helali et al.,Opioid Use Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S016,2025,Huang et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,630,30,36,single-blind,sham-controlled,Anxiety,positive,82,Red-light photobiomodulation improves cognition and neuropsychiatric symptoms in post-stroke cognitive impairment: a randomized trial,Frontiers
S016,2025,Huang et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,630,30,36,single-blind,sham-controlled,Cognitive Function,positive,82,Red-light photobiomodulation improves cognition and neuropsychiatric symptoms in post-stroke cognitive impairment: a randomized trial,Frontiers
S016,2025,Huang et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,630,30,36,single-blind,sham-controlled,Depression,positive,82,Red-light photobiomodulation improves cognition and neuropsychiatric symptoms in post-stroke cognitive impairment: a randomized trial,Frontiers
S027,2025,Jamail & Fuller,Anxiety Disorder,clinical,adult,Case Series,transcranial,1070,15,80,no blinding,no control group,Anxiety,mixed,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series",ScienceDirect
S027,2025,Jamail & Fuller,Anxiety Disorder,clinical,adult,Case Series,transcranial,1070,15,80,no blinding,no control group,Depression,mixed,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series",ScienceDirect
S027,2025,Jamail & Fuller,Anxiety Disorder,clinical,adult,Case Series,transcranial,1070,15,80,no blinding,no control group,Sleep,mixed,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series",ScienceDirect
S027,2025,Jamail & Fuller,Major Depressive Disorder,clinical,adult,Case Series,transcranial,1070,15,80,no blinding,no control group,Anxiety,mixed,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series",ScienceDirect
S027,2025,Jamail & Fuller,Major Depressive Disorder,clinical,adult,Case Series,transcranial,1070,15,80,no blinding,no control group,Depression,mixed,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series",ScienceDirect
S027,2025,Jamail & Fuller,Major Depressive Disorder,clinical,adult,Case Series,transcranial,1070,15,80,no blinding,no control group,Sleep,mixed,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series",ScienceDirect
S039,2025,Jarrahi et al.,Dementia,clinical,geriatric,Rct,transcranial,NA,NA,NA,double-blind,placebo-controlled,Anxiety,negative,30,The Efficacy of Photobiomodulation Therapy in Improving Cognitive Function and Reducing Depression and Anxiety in Patients with Mild-to-Moderate Dementia: A Double-Blinded Randomized Clinical Trial,PubMed
S039,2025,Jarrahi et al.,Dementia,clinical,geriatric,Rct,transcranial,NA,NA,NA,double-blind,placebo-controlled,Cognitive Function,negative,30,The Efficacy of Photobiomodulation Therapy in Improving Cognitive Function and Reducing Depression and Anxiety in Patients with Mild-to-Moderate Dementia: A Double-Blinded Randomized Clinical Trial,PubMed
S039,2025,Jarrahi et al.,Dementia,clinical,geriatric,Rct,transcranial,NA,NA,NA,double-blind,placebo-controlled,Depression,negative,30,The Efficacy of Photobiomodulation Therapy in Improving Cognitive Function and Reducing Depression and Anxiety in Patients with Mild-to-Moderate Dementia: A Double-Blinded Randomized Clinical Trial,PubMed
S034,2025,Lai et al.,ADHD,clinical,adult,Open-Label Pilot,transcranial,1064,12,7,not reported,no control group,Attention,positive,48,Repetitive Transcranial Photobiomodulation Improves Working Memory and Attention in Adults with ADHD: A 4-Week Follow-Up Study,Sage Journals
S034,2025,Lai et al.,ADHD,clinical,adult,Open-Label Pilot,transcranial,1064,12,7,not reported,no control group,Memory,positive,48,Repetitive Transcranial Photobiomodulation Improves Working Memory and Attention in Adults with ADHD: A 4-Week Follow-Up Study,Sage Journals
S100,2025,Lim et al.,Cognitive Dysfunction,clinical,adult,Rct,transcranial,810,20,48,double-blind,sham-controlled,Cognitive Function,mixed,43,Photobiomodulation for cognitive dysfunction (Brain Fog) in post-COVID-19 condition: a randomized double-blind sham-controlled pilot trial,Lancet
S014,2025,Lok Lee et al.,Brain Injury,clinical,adult,Rct,transcranial,810,12,18,single-blind,sham-controlled,Cognitive Function,positive,17,"Transcranial Photobiomodulation Improves Cognitive Function, Post-Concussion, and PTSD Symptoms in Mild Traumatic Brain Injury",Sage Journals
S014,2025,Lok Lee et al.,Brain Injury,clinical,adult,Rct,transcranial,810,12,18,single-blind,sham-controlled,PTSD Symptoms,positive,17,"Transcranial Photobiomodulation Improves Cognitive Function, Post-Concussion, and PTSD Symptoms in Mild Traumatic Brain Injury",Sage Journals
S015,2025,Mehdizadeh et al.,Insomnia,clinical,adult,Rct,transcranial,810,10,3,double-blind,sham-controlled,Sleep,positive,30,"Transcranial photobiomodulation improves sleep quality, reduces daytime sleepiness, and modulates delta power in chronic insomnia: a randomized controlled trial | Lasers in Medical Science | Springer Nature Link",Springer
S030,2025,Rashidi-Ranjbar et al.,Mild Cognitive Impairment,aging,geriatric,Rct,transcranial,NA,NA,42,double-blind,sham-controlled,Cognitive Function,positive,15,350. Efficacy and Mechanism of Action of Transcranial Photobiomodulation (tPBM) in Mild Cognitive Impairment,ScienceDirect
S046,2025,Saltmarche et al.,Parkinson's,clinical,geriatric,Rct,transcranial,NA,24,48,double-blind,placebo-controlled,Motor Skills,positive,63,Effectiveness of Photobiomodulation to Treat Motor and Non-Motor Symptoms of Parkinson’s Disease: A Randomised Clinical Trial with Extended Treatment,MDPI
S084,2025,Spera et al.,Alzheimer's,clinical,geriatric,Pilot Rct,transcranial,830,NA,3,single-blind,sham-controlled,Brain Oscillations,mixed,10,Pilot Study on Dose-Dependent Effects of Transcranial Photobiomodulation on Brain Electrical Oscillations: A Potential Therapeutic Target in Alzheimer's Disease,Pubmed
S084,2025,Spera et al.,Alzheimer's,clinical,geriatric,Pilot Rct,transcranial,830,NA,3,single-blind,sham-controlled,Cognitive Function,mixed,10,Pilot Study on Dose-Dependent Effects of Transcranial Photobiomodulation on Brain Electrical Oscillations: A Potential Therapeutic Target in Alzheimer's Disease,Pubmed
S025,2025,Tate et al.,Chronic Pain,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Cognitive Function,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,Chronic Pain,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Mood,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,Chronic Pain,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Sleep,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,Insomnia,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Cognitive Function,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,Insomnia,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Mood,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,Insomnia,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Sleep,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,PTSD,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Cognitive Function,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,PTSD,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Mood,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S025,2025,Tate et al.,PTSD,clinical,adult,Open-Label Pilot,transcranial,810,20,32,no blinding,no control group,Sleep,positive,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S029,2025,Yang et al.,Natural Aging,aging,geriatric,Rct,transcranial,1064,12,1,single-blind,sham-controlled,Memory,positive,55,Transcranial photobiomodulation improves functional brain networks and working memory in healthy older adults: An fNIRS study,ScienceDirect
S026,2026,Diaz et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,1064,10,56,no blinding,no control group,Autism Symptoms,positive,8,Transcranial Photobiomodulation for autism spectrum disorder: Prospective open-label case series across age groups,ScienceDirect
S026,2026,Diaz et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,1064,10,56,no blinding,no control group,Cognitive Function,positive,8,Transcranial Photobiomodulation for autism spectrum disorder: Prospective open-label case series across age groups,ScienceDirect
S026,2026,Diaz et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,1064,10,56,no blinding,no control group,Mood,positive,8,Transcranial Photobiomodulation for autism spectrum disorder: Prospective open-label case series across age groups,ScienceDirect
S026,2026,Diaz et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,1064,10,56,no blinding,no control group,Sleep,positive,8,Transcranial Photobiomodulation for autism spectrum disorder: Prospective open-label case series across age groups,ScienceDirect
